Year,State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPULATION
2017,CT,4000,4000,330,8,36,3,0,1,2,2,3573297
2017,FL,180000,240000,50000,21,41,17,8,10,8,26,20963613
2017,GA,125000,145000,21000,14,57,15,12,15,4,5,10410330
2017,HI,15000,15000,130,1,57,66,0,0,0,0,1424393
2017,ID,113000,164000,9000,5,34,17,18,15,2,0,1717715
2017,IL,13500,13500,1800,13,29,10,1,8,5,5,12778828
2017,IN,11500,11500,1700,15,24,6,2,1,4,8,6658078
2017,IA,45000,45000,6500,14,61,26,12,33,18,6,3141550
2017,KS,6500,6500,830,13,18,8,3,9,1,10,2908718
2017,KY,7500,7500,870,12,54,24,1,7,6,19,4452268
2017,LA,58000,60000,2700,5,32,27,0,1,2,10,4670560
2017,ME,5500,6000,60,1,25,6,0,0,1,0,1334612
2017,MD,8000,10500,1300,12,8,3,0,1,2,8,6023868
2017,MA,6000,6000,1100,18,13,1,7,3,2,0,6859789
2017,MI,88000,88000,11500,13,54,14,5,24,2,2,9973114
2017,MN,98000,98000,7000,7,63,4,4,40,7,3,5566230
2017,MS,14000,22000,3400,15,19,6,1,2,2,4,2988510
2017,MO,9500,9500,820,9,17,14,1,0,4,2,6106670
2017,MT,115000,121000,13000,11,54,4,3,6,5,4,1052482
2017,NE,42000,42000,7500,18,27,3,4,2,4,12,1915947
2017,NJ,15500,15500,1200,8,19,7,4,4,3,0,8885525
2017,NM,8000,8000,1900,24,86,0,0,10,10,1,2091784
2017,NY,51000,51000,3900,8,22,13,8,5,0,3,19589572
2017,NC,23000,23000,5000,22,64,16,4,2,12,7,10268233
2017,ND,410000,410000,26000,6,42,17,0,1,1,0,754942
2017,OH,18500,18500,2800,15,45,23,7,6,8,3,11659650
2017,OK,3700,46000,100,0,1,1,0,0,0,0,3931316
2017,OR,94000,94000,10000,11,51,23,28,14,4,2,4143625
2017,PA,24000,24000,5500,23,45,5,1,7,3,2,12787641
2017,SC,12500,15000,2000,13,32,19,15,0,2,2,5021268
2017,SD,111000,111000,6500,6,17,0,4,4,8,3,872868
2017,TN,8500,10500,1300,12,23,19,0,2,8,15,6708799
2017,TX,127000,285000,20000,7,34,21,7,3,4,5,28295273
2017,UT,29000,29000,2000,7,24,9,11,9,9,20,3101042
2017,VT,6500,6500,470,7,97,45,22,55,6,2,624344
2017,VA,9500,9500,1100,12,21,21,1,8,7,4,8463587
2017,WA,66000,72000,4000,6,22,6,0,0,0,0,7423362
2017,WV,8500,8500,1200,14,60,5,2,0,8,4,1817004
2017,WI,51000,55000,8500,15,53,37,33,23,15,15,5790186
2017,WY,28000,29000,3500,12,38,2,8,6,8,1,578931
2018,AL,6500,6500,830,13,21,21,1,2,3,8,4887681
2018,AZ,26000,27000,5000,19,21,8,3,0,7,3,7158024
2018,AR,30000,31000,6000,19,83,7,0,74,5,2,3009733
2018,CA,680000,1200000,170000,14,44,17,10,12,9,7,39461588
2018,CO,30000,30000,3500,12,73,6,1,0,6,1,5691287
2018,CT,3500,3500,220,6,13,4,2,1,4,2,3571520
2018,FL,240000,290000,43000,15,47,22,9,14,8,7,21244317
2018,GA,148000,164000,19500,12,41,17,9,7,6,8,10511131
2018,HI,16000,16000,940,6,71,83,0,0,0,0,1420593
2018,ID,99000,159000,15000,9,65,47,10,16,7,5,1750536
2018,IL,12000,12000,1400,12,27,13,2,3,7,6,12723071
2018,IN,9000,9000,3300,37,51,21,24,65,35,2,6695497
2018,IA,21000,21000,4200,20,55,27,9,32,29,6,3148618
2018,KS,5500,5500,1000,18,62,31,26,44,2,26,2911359
2018,KY,7000,7000,2000,29,57,42,1,7,6,4,4461153
2018,LA,50000,52000,2600,5,17,7,0,6,1,2,4659690
2018,ME,12000,12000,1400,12,9,5,0,0,1,0,1339057
2018,MD,7000,9000,690,8,17,5,0,1,5,2,6035802
2018,MA,4900,4900,650,13,33,9,8,9,3,5,6882635
2018,MI,77000,77000,6000,8,52,31,16,15,2,7,9984072
2018,MN,84000,86000,11500,13,28,5,4,8,4,2,5606249
2018,MS,14500,25000,2000,8,27,7,0,1,3,5,2981020
2018,MO,10000,10000,880,9,37,10,1,2,2,4,6121623
2018,MT,98000,102000,5500,5,41,13,6,18,3,0,1060665
2018,NE,45000,45000,5000,11,3,1,1,0,3,1,1925614
2018,NJ,15500,15500,1300,8,14,3,0,0,5,0,8886025
2018,NM,8000,8000,3000,38,81,1,4,0,8,1,2092741
2018,NY,53000,53000,4400,8,26,5,8,2,8,1,19530351
2018,NC,16000,16000,2700,17,53,10,4,2,11,5,10381615
2018,ND,430000,435000,29000,7,30,9,8,11,4,5,758080
2018,OH,15500,15500,2100,14,29,6,0,8,2,10,11676341
2018,OK,2200,57000,2500,4,13,0,0,0,0,0,3940235
2018,OR,89000,101000,13000,13,44,5,16,15,1,0,4181886
2018,PA,21000,21000,4000,19,27,11,7,13,8,5,12800922
2018,SC,10000,12500,1500,12,32,16,0,1,1,6,5084156
2018,SD,140000,140000,21000,15,13,1,7,2,2,3,878698
2018,TN,8000,8500,1900,22,50,21,2,11,9,5,6771631
2018,TX,116000,260000,17000,7,19,19,6,3,6,4,28628666
